
                             U1 N: 2 NSET NODE  U2 N: 2 NSET NODE
                  X                 _1-1               _1-1      

              159.574E-03        254.204E-06       -986.695E-06  
              160.192E-03        257.11E-06        -989.631E-06  
              160.809E-03        261.097E-06       -993.664E-06  
              161.427E-03        263.599E-06       -996.181E-06  
              162.044E-03        263.081E-06       -995.634E-06  
              162.662E-03        259.975E-06       -992.49E-06   
              163.279E-03        256.345E-06       -988.851E-06  
              163.897E-03        254.519E-06       -987.051E-06  
              164.514E-03        255.599E-06       -988.159E-06  
              165.132E-03        258.798E-06       -991.358E-06  
              165.749E-03        262.002E-06       -994.54E-06   
              166.367E-03        263.165E-06       -995.687E-06  
              166.984E-03        261.619E-06       -994.149E-06  
              167.601E-03        258.449E-06       -990.999E-06  
              168.219E-03        255.737E-06       -988.294E-06  
              168.836E-03        255.194E-06       -987.735E-06  
              169.454E-03        257.082E-06       -989.604E-06  
              170.071E-03        260.106E-06       -992.627E-06  
              170.689E-03        262.3E-06         -994.841E-06  
              171.306E-03        262.302E-06       -994.863E-06  
              171.924E-03        260.197E-06       -992.756E-06  
              172.541E-03        257.4E-06         -989.937E-06  
              173.159E-03        255.711E-06       -988.229E-06  
              173.776E-03        256.161E-06       -988.682E-06  
              174.394E-03        258.386E-06       -990.927E-06  
              175.011E-03        260.91E-06        -993.467E-06  
              175.629E-03        262.118E-06       -994.673E-06  
              176.246E-03        261.29E-06        -993.828E-06  
              176.864E-03        259.022E-06       -991.549E-06  
              177.481E-03        256.809E-06       -989.339E-06  
              178.099E-03        256.057E-06       -988.599E-06  
              178.716E-03        257.196E-06       -989.743E-06  
              179.333E-03        259.431E-06       -991.974E-06  
              179.951E-03        261.3E-06         -993.835E-06  
              180.568E-03        261.624E-06       -994.158E-06  
              181.186E-03        260.253E-06       -992.795E-06  
              181.803E-03        258.125E-06       -990.671E-06  
              182.421E-03        256.621E-06       -989.164E-06  
              183.038E-03        256.677E-06       -989.21E-06   
              183.656E-03        258.195E-06       -990.725E-06  
              184.273E-03        260.157E-06       -992.693E-06  
              184.891E-03        261.298E-06       -993.845E-06  
              185.508E-03        260.925E-06       -993.477E-06  
              186.126E-03        259.332E-06       -991.876E-06  
              186.743E-03        257.575E-06       -990.108E-06  
              187.361E-03        256.776E-06       -989.305E-06  
              187.978E-03        257.408E-06       -989.943E-06  
              188.596E-03        259.018E-06       -991.562E-06  
              189.213E-03        260.547E-06       -993.095E-06  
              189.831E-03        261.026E-06       -993.57E-06   
              190.448E-03        260.187E-06       -992.725E-06  
              191.065E-03        258.612E-06       -991.146E-06  
              191.683E-03        257.329E-06       -989.866E-06  
              192.3E-03          257.144E-06       -989.685E-06  
              192.918E-03        258.137E-06       -990.678E-06  
              193.535E-03        259.632E-06       -992.171E-06  
              194.153E-03        260.658E-06       -993.196E-06  
              194.764E-03        260.586E-06       -993.126E-06  
              195.37E-03         259.531E-06       -992.074E-06  
              195.97E-03         258.193E-06       -990.735E-06  
              196.563E-03        257.383E-06       -989.921E-06  
              197.151E-03        257.535E-06       -990.07E-06   
              197.733E-03        258.501E-06       -991.036E-06  
              198.308E-03        259.691E-06       -992.231E-06  
              198.878E-03        260.443E-06       -992.987E-06  
              199.442E-03        260.383E-06       -992.928E-06  
              200.E-03           259.595E-06       -992.138E-06  




