
                  X            U2 free node 3 
                2.40214         -743.152E-03  
                2.40782         -570.253E-03  
                2.41349         -449.21E-03   
                2.41917         -387.241E-03  
                2.42485         -390.577E-03  
                2.43052         -463.815E-03  
                2.4362          -609.349E-03  
                2.44187         -826.945E-03  
                2.44755           -1.11349    
                2.45323           -1.46297    
                2.4589            -1.86663    
                2.46458           -2.3134     
                2.47025           -2.79045    
                2.47593           -3.28395    
                2.4816            -3.77985    
                2.48728           -4.26468    
                2.49296           -4.72631    
                2.49863           -5.15454    
                2.50431           -5.54155    
                2.50998           -5.88206    
                2.51566           -6.17329    
                2.52134           -6.41464    
                2.52701           -6.60728    
                2.53269           -6.75351    
                2.53836           -6.85616    
                2.54403           -6.9179     
                2.54971           -6.94081    
                2.55538           -6.92596    
                2.56106           -6.87328    
                2.56673           -6.78162    
                2.5724            -6.64906    
                2.57808           -6.47327    
                2.58375           -6.25216    
                2.58943           -5.98442    
                2.5951            -5.67016    
                2.60078           -5.31132    
                2.60645           -4.91208    
                2.61213           -4.47892    
                2.6178            -4.02055    
                2.62348           -3.5476     
                2.62916           -3.07212    
                2.63483           -2.60695    
                2.64051           -2.165      
                2.64618           -1.75854    
                2.65186           -1.39852    
                2.65754           -1.09399    
                2.66321         -851.742E-03  
                2.66889         -676.018E-03  
                2.67456         -568.5E-03    
                2.68024         -528.445E-03  
                2.68591         -552.975E-03  
                2.69159         -637.503E-03  
                2.69727         -776.235E-03  
                2.70294         -962.703E-03  
                2.70862           -1.19027    
                2.7143            -1.4526     
                2.71997           -1.74393    
                2.72565           -2.05934    
                2.73133           -2.39474    
                2.737             -2.74681    
                2.74268           -3.11274    
                2.74836           -3.48992    
                2.75403           -3.87558    
                2.75971           -4.26641    
                2.76538           -4.65824    
                2.77106           -5.04584    
                2.77673           -5.42282    
                2.78241           -5.78173    
                2.78808           -6.11427    
                2.79376           -6.41169    
                2.79943           -6.66525    
                2.8051            -6.86683    
                2.81078           -7.00942    
                2.81645           -7.08772    
                2.82213           -7.09849    
                2.8278            -7.04088    
                2.83348           -6.91645    
                2.83915           -6.72913    
                2.84483           -6.4849     
                2.8505            -6.19144    
                2.85618           -5.85752    
                2.86185           -5.49254    
                2.86753           -5.10591    
                2.8732            -4.70657    
                2.87888           -4.30268    
                2.88455           -3.90129    
                2.89023           -3.5083     
                2.8959            -3.12849    
                2.90158           -2.76566    
                2.90725           -2.42294    
                2.91293           -2.10303    
                2.9186            -1.80854    
                2.92428           -1.54227    
                2.92996           -1.30736    
                2.93563           -1.10742    
                2.94131         -946.506E-03  
                2.94699         -828.958E-03  
                2.95266         -759.168E-03  
                2.95834         -741.245E-03  
                2.96402         -778.629E-03  
                2.96969         -873.695E-03  
                2.97537           -1.02739    
                2.98105           -1.23894    
                2.98672           -1.50563    
                2.9924            -1.82274    
                2.99807           -2.18363    
                3.00375           -2.57994    
                3.00942           -3.0019     
                3.0151            -3.43882    
                3.02077           -3.87959    
                3.02645           -4.31324    
                3.03213           -4.72948    
                3.0378            -5.11914    
                3.04348           -5.47458    
                3.04915           -5.7899     
                3.05483           -6.06104    
                3.0605            -6.28567    
                3.06618           -6.46303    
                3.07186           -6.59355    
                3.07753           -6.67853    
                3.0832            -6.7197     
                3.08888           -6.71889    
                3.09455           -6.67767    
                3.10023           -6.59726    
                3.1059            -6.47841    
                3.11158           -6.32149    
                3.11725           -6.12672    
                3.12292           -5.89439    
                3.1286            -5.62528    
                3.13427           -5.32092    
                3.13995           -4.98397    
                3.14562           -4.61842    
                3.1513            -4.22971    
                3.15698           -3.82473    
                3.16265           -3.41164    
                3.16833           -2.99964    
                3.174             -2.59854    
                3.17968           -2.21834    
                3.18536           -1.86874    
                3.19103           -1.55862    
                3.19671           -1.29568    
                3.20238           -1.08601    
                3.20806         -933.938E-03  
                3.21373         -841.809E-03  
                3.21941         -810.063E-03  
                3.22509         -837.329E-03  
                3.23076         -920.652E-03  
                3.23644           -1.0558     
                3.24211           -1.23759    
                3.24779           -1.4603     
                3.25347           -1.71796    
                3.25914           -2.0047     
                3.26482           -2.31493    
                3.2705            -2.64351    
                3.27617           -2.98578    
                3.28185           -3.3375     
                3.28752           -3.69474    
                3.2932            -4.0537     
                3.29888           -4.41051    
                3.30455           -4.761      
                3.31023           -5.10063    
                3.3159            -5.42432    
                3.32158           -5.7265     
                3.32725           -6.00121    
                3.33293           -6.24225    
                3.3386            -6.44351    
                3.34427           -6.59928    
                3.34995           -6.70458    
                3.35562           -6.75554    
                3.3613            -6.7497     
                3.36697           -6.68621    
                3.37265           -6.56597    
                3.37832           -6.39164    
                3.384             -6.16749    
                3.38967           -5.89924    
                3.39535           -5.59369    
                3.40102           -5.25842    
                3.4067            -4.90137    
                3.41237           -4.53052    
                3.41805           -4.15352    
                3.42372           -3.77751    
                3.4294            -3.40887    
                3.43507           -3.05324    
                3.44075           -2.71544    
                3.44642           -2.39962    
                3.4521            -2.10933    
                3.45777           -1.84773    
                3.46345           -1.6177     
                3.46913           -1.42198    
                3.4748            -1.26326    
                3.48048           -1.14422    
                3.48616           -1.06743    
                3.49183           -1.03532    
                3.49751           -1.04994    
                3.50319           -1.11282    
                3.50886           -1.22471    
                3.51454           -1.38534    
                3.52021           -1.59331    
                3.52589           -1.84588    
                3.53157           -2.13894    
                3.53724           -2.46702    
                3.54292           -2.8234     
                3.54859           -3.20036    
                3.55427           -3.58939    
                3.55994           -3.98155    
                3.56562           -4.36789    
                3.5713            -4.73976    
                3.57697           -5.08922    
                3.58265           -5.4093     
                3.58832           -5.69423    
                3.594             -5.93959    
                3.59967           -6.14232    
                3.60535           -6.30066    
                3.61102           -6.41397    
                3.6167            -6.48256    
                3.62237           -6.50743    
                3.62805           -6.49001    
                3.63372           -6.43197    
                3.6394            -6.33503    
                3.64507           -6.20089    
                3.65074           -6.0312     
                3.65642           -5.82761    
                3.66209           -5.59192    
                3.66777           -5.32621    
                3.67344           -5.03307    
                3.67912           -4.71575    
                3.68479           -4.37828    
                3.69047           -4.02563    
                3.69614           -3.66361    
                3.70182           -3.29888    
                3.7075            -2.93878    
                3.71317           -2.59103    
                3.71885           -2.26351    
                3.72452           -1.96391    
                3.7302            -1.69937    
                3.73588           -1.47621    
                3.74155           -1.29963    
                3.74723           -1.17349    
                3.7529            -1.10018    
                3.75858           -1.08056    
                3.76426           -1.11402    
                3.76993           -1.19854    
                3.77561           -1.33092    
                3.78128           -1.50696    
                3.78696           -1.72174    
                3.79264           -1.96987    
                3.79831           -2.24574    
                3.80399           -2.54375    
                3.80966           -2.85842    
                3.81534           -3.18457    
                3.82102           -3.51729    
                3.82669           -3.852      
                3.83237           -4.18432    
                3.83804           -4.51004    
                3.84372           -4.82499    
                3.8494            -5.12498    
                3.85507           -5.40569    
                3.86074           -5.66269    
                3.86642           -5.89148    
                3.87209           -6.08754    
                3.87777           -6.24653    
                3.88344           -6.36445    
                3.88912           -6.43786    
                3.89479           -6.46413    
                3.90047           -6.4416     
                3.90614           -6.36977    
                3.91182           -6.24942    
                3.91749           -6.08264    
                3.92317           -5.87277    
                3.92884           -5.62433    
                3.93452           -5.34281    
                3.94019           -5.03446    
                3.94587           -4.70603    
                3.95154           -4.3645     
                3.95722           -4.01685    
                3.96289           -3.66979    
                3.96857           -3.32964    
                3.97424           -3.00218    
                3.97992           -2.69255    
                3.98559           -2.40531    
                3.99127           -2.14439    
                3.99695           -1.91319    
                4.00262           -1.71461    
                4.0083            -1.55118    
                4.01397           -1.42506    
                4.01965           -1.33809    
                4.02533           -1.29183    
                4.031             -1.28744    
                4.03668           -1.32569    
                4.04236           -1.40682    
                4.04803           -1.53045    
                4.05371           -1.69546    
                4.05938           -1.89987    
                4.06506           -2.14079    
                4.07074           -2.41436    
                4.07641           -2.7158     
                4.08209           -3.03943    
                4.08776           -3.37883    
                4.09344           -3.72704    
                4.09911           -4.07671    
                4.10479           -4.42044    
                4.11047           -4.751      
                4.11614           -5.06158    
                4.12182           -5.34605    
                4.12749           -5.59915    
                4.13317           -5.81659    
                4.13884           -5.99514    
                4.14452           -6.13265    
                4.15019           -6.22797    
                4.15587           -6.28084    
                4.16154           -6.29176    
                4.16722           -6.26186    
                4.17289           -6.19269    
                4.17857           -6.08614    
                4.18424           -5.94433    
                4.18991           -5.76954    
                4.19559           -5.5642     
                4.20126           -5.33094    
                4.20694           -5.07266    
                4.21261           -4.79257    
                4.21829           -4.49432    
                4.22396           -4.18204    
                4.22964           -3.8604     
                4.23531           -3.5346     
                4.24099           -3.21032    
                4.24667           -2.89363    
                4.25234           -2.59082    
                4.25802           -2.30822    
                4.26369           -2.052      
                4.26937           -1.8279     
                4.27504           -1.64101    
                4.28072           -1.49561    
                4.2864            -1.39493    
                4.29207           -1.34106    
                4.29775           -1.3349     
                4.30342           -1.3761     
                4.3091            -1.46317    
                4.31478           -1.59352    
                4.32045           -1.76365    
                4.32613           -1.9693     
                4.3318            -2.20565    
                4.33748           -2.46754    
                4.34316           -2.74961    
                4.34883           -3.04648    
                4.35451           -3.35291    
                4.36018           -3.66381    
                4.36586           -3.97437    
                4.37154           -4.28002    
                4.37721           -4.57645    
                4.38289           -4.85952    
                4.38856           -5.1253     
                4.39424           -5.36996    
                4.39991           -5.5898     
                4.40559           -5.78124    
                4.41126           -5.94089    
                4.41694           -6.0656     
                4.42261           -6.15258    
                4.42829           -6.19952    
                4.43396           -6.20474    
                4.43964           -6.16731    
                4.44531           -6.08717    
                4.45099           -5.96522    
                4.45666           -5.80334    
                4.46234           -5.6044     
                4.46801           -5.3722     
                4.47368           -5.11138    
                4.47936           -4.82723    
                4.48503           -4.52556    
                4.49071           -4.21249    
                4.49639           -3.89424    
                4.50206           -3.57698    
                4.50774           -3.26662    
                4.51341           -2.96872    
                4.51909           -2.68835    
                4.52476           -2.43005    
                4.53044           -2.19781    
                4.53611           -1.99503    
                4.54179           -1.82454    
                4.54747           -1.68867    
                4.55314           -1.58923    
                4.55882           -1.52757    
                4.56449           -1.50458    
                4.57017           -1.52067    
                4.57585           -1.5758     
                4.58152           -1.66939    
                4.5872            -1.80032    
                4.59288           -1.96687    
                4.59855           -2.16667    
                4.60423           -2.39668    
                4.6099            -2.65316    
                4.61558           -2.93174    
                4.62126           -3.22742    
                4.62693           -3.53468    
                4.63261           -3.84762    
                4.63828           -4.16008    
                4.64396           -4.46586    
                4.64963           -4.75885    
                4.65531           -5.03328    
                4.66098           -5.28384    
                4.66666           -5.50587    
                4.67233           -5.69548    
                4.67801           -5.84959    
                4.68369           -5.96601    
                4.68936           -6.04342    
                4.69503           -6.08131    
                4.70071           -6.07991    
                4.70638           -6.04011    
                4.71206           -5.96335    
                4.71773           -5.85151    
                4.72341           -5.70686    
                4.72908           -5.53194    
                4.73476           -5.32957    
                4.74043           -5.10279    
                4.74611           -4.8549     
                4.75178           -4.58946    
                4.75746           -4.31033    
                4.76313           -4.02164    
                4.76881           -3.72787    
                4.77448           -3.43377    
                4.78016           -3.14435    
                4.78584           -2.86481    
                4.79151           -2.6004     
                4.79719           -2.35633    
                4.80286           -2.13759    
                4.80854           -1.94882    
                4.81422           -1.79411    
                4.81989           -1.67686    
                4.82557           -1.59968    
                4.83124           -1.56424    
                4.83692           -1.57126    
                4.84259           -1.62042    
                4.84827           -1.71044    
                4.85395           -1.83912    
                4.85962           -2.00342    
                4.8653            -2.19959    
                4.87097           -2.42334    
                4.87665           -2.66994    
                4.88233           -2.93442    
                4.888             -3.2117     
                4.89368           -3.49671    
                4.89935           -3.7845     
                4.90503           -4.0703     
                4.9107            -4.34961    
                4.91638           -4.61817    
                4.92206           -4.87199    
                4.92773           -5.10737    
                4.93341           -5.32085    
                4.93908           -5.50925    
                4.94476           -5.66963    
                4.95043           -5.79933    
                4.95611           -5.89603    
                4.96178           -5.95778    
                4.96746           -5.9831     
                4.97313           -5.97102    
                4.97881           -5.92121    
                4.98448           -5.83401    
                4.99016           -5.71051    
                4.99583           -5.55257    
                5.0015            -5.36282    
                5.00718           -5.14466    
                5.01286           -4.90212    
                5.01853           -4.63983    
                5.02421           -4.36287    
                5.02988           -4.07663    
                5.03556           -3.78664    
                5.04123           -3.49846    
                5.04691           -3.2175     
                5.05258           -2.94891    
                5.05826           -2.69745    
                5.06393           -2.46744    
                5.06961           -2.26268    
                5.07529           -2.08641    
                5.08096           -1.9413     
